,waktu,id,username,teks
62,2022-07-15 14:52:54,1547957381346144266,Hiring Now in Tech,b'RT @CrimsonITJobs: New #job: Data Engineer \xe2\x80\x93 Power BI/Inside IR35 \xe2\x80\x93 Birmingham Location: Birmingham Salary: 500pd - 550pd .. https://t.co/j\xe2\x80\xa6'
63,2022-07-15 14:48:49,1547956355289726977,blue,"b'@worksfess hallo aku ada loker buat data analyst, UI/UX writer, software development engineer dan IT lainnya dan fu\xe2\x80\xa6 https://t.co/3mor9rZuhs'"
64,2022-07-15 13:55:35,1547942960582443009,Jobs via Tweet,b'RT @pioneersearch: New #job: Data Engineer Location: City of London Salary: \xc2\xa370kpa - \xc2\xa370kpa .. https://t.co/rk1KJXlG8n #hiring #jobsintech\xe2\x80\xa6'
65,2022-07-15 13:53:01,1547942314290515969,Pioneer Search,b'New #job: Data Engineer Location: City of London Salary: \xc2\xa370kpa - \xc2\xa370kpa .. https://t.co/rk1KJXlG8n #hiring #jobsintech #fintech'
66,2022-07-15 13:49:16,1547941368508456973,blue,"b'@hrjislight hallo aku ada loker buat data analyst, UI/UX writer, software development engineer dan IT lainnya. Mung\xe2\x80\xa6 https://t.co/I5gvyTKX56'"
67,2022-07-15 13:44:18,1547940118308130821,Crimson IT Jobs,b'New #job: Data Engineer \xe2\x80\x93 Power BI/Inside IR35 \xe2\x80\x93 Birmingham Location: Birmingham Salary: 500pd - 550pd .. https://t.co/jUdwOxBWYx #ITJobs'
68,2022-07-15 10:53:48,1547897212889616390,DNSN,"b'@codingfess harus ikut, krn itu proses seleksi.\nyang ikut aja belum tentu lolos kok, ada kejadian temen fb soalnya.\xe2\x80\xa6 https://t.co/8o7S2SY3hv'"
69,2022-07-15 10:42:44,1547894426508201984,Hiring Now in Tech,b'RT @Itanalyticsjobs: Senior Data Engineer https://t.co/bZ1YnHfe4c #ITAnalyticsJobs #ITJobs #Jobs'
70,2022-07-15 10:31:40,1547891641024782337,Hiring Now in Tech,b'RT @CrimsonITJobs: New #job: Data Engineer \xe2\x80\x93 Azure Data Factory/Inside IR35 \xe2\x80\x93 Birmingham Location: Birmingham Salary: 400pd - 500pd .. http\xe2\x80\xa6'
71,2022-07-15 10:04:39,1547884844494950400,Crimson IT Jobs,b'New #job: Data Engineer \xe2\x80\x93 Azure Data Factory/Inside IR35 \xe2\x80\x93 Birmingham Location: Birmingham Salary: 400pd - 500pd ..\xe2\x80\xa6 https://t.co/ieHYvMhac3'
