waktu,id,username,teks
7/13/2022 2:27,1.54704E+18,Andre Pradana,b'RT @TepakBulu: @RudyRoedyanto Pelatih fisik? Karena ada yang bilang masih banyak pemain kedodoran.\n\nData scientist? Purpose buat statisitk\xe2\x80\xa6'
7/13/2022 2:27,1.54704E+18,Andre Pradana,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/13/2022 2:14,1.54704E+18,r.,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/13/2022 2:04,1.54704E+18,Probably Approximately Campus,b'Data scientist juga bisa jadi data engineer.\n\nTapi perlu pengetahuan tambahan yang penting seperti paham data pipel\xe2\x80\xa6 https://t.co/Gb4qGxRZ94'
7/13/2022 1:35,1.54703E+18,Renjunni,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/13/2022 1:18,1.54703E+18,sa,b'RT @TepakBulu: @RudyRoedyanto Pelatih fisik? Karena ada yang bilang masih banyak pemain kedodoran.\n\nData scientist? Purpose buat statisitk\xe2\x80\xa6'
7/13/2022 1:18,1.54703E+18,sa,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/13/2022 0:09,1.54701E+18,azura,b'RT @TepakBulu: @RudyRoedyanto Pelatih fisik? Karena ada yang bilang masih banyak pemain kedodoran.\n\nData scientist? Purpose buat statisitk\xe2\x80\xa6'
7/12/2022 23:01,1.54699E+18,Ridhos,"b'@hrdbacot Nerima job di Solo\n\nTau kalo ke depannya bakal diperalat dan disuruh ngerjain 1 perusahaan, aku udah nola\xe2\x80\xa6 https://t.co/f665FQnyo6'"
7/12/2022 22:56,1.54699E+18,Rahcma,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/12/2022 15:55,1.54689E+18,nipeh 🌧️,b'RT @TepakBulu: @RudyRoedyanto Pelatih fisik? Karena ada yang bilang masih banyak pemain kedodoran.\n\nData scientist? Purpose buat statisitk\xe2\x80\xa6'
7/12/2022 15:55,1.54689E+18,nipeh 🌧️,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/12/2022 15:34,1.54688E+18,archie,b'pengen deh jadi data scientist badminton wkwk https://t.co/dnzyG4xzgF'
7/12/2022 15:25,1.54688E+18,ssunamooncrising,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/12/2022 15:00,1.54687E+18,runa,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/12/2022 15:00,1.54687E+18,runa,b'RT @TepakBulu: @RudyRoedyanto Pelatih fisik? Karena ada yang bilang masih banyak pemain kedodoran.\n\nData scientist? Purpose buat statisitk\xe2\x80\xa6'
7/12/2022 14:46,1.54687E+18,𝐬𝐚𝐚,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/12/2022 14:29,1.54686E+18,Tanpanama,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/12/2022 14:24,1.54686E+18,Adit Gili,"b'RT @TepakBulu: @RudyRoedyanto Data scientist masuknya ke teknis ya (?), tapi ya olahraga sekarang juga banyak bermain di data, jadi kayak s\xe2\x80\xa6'"
7/12/2022 14:24,1.54686E+18,Adit Gili,b'RT @TepakBulu: @RudyRoedyanto Pelatih fisik? Karena ada yang bilang masih banyak pemain kedodoran.\n\nData scientist? Purpose buat statisitk\xe2\x80\xa6'
7/12/2022 14:24,1.54686E+18,Adit Gili,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/12/2022 14:08,1.54686E+18,Nini || cek 📌,b'RT @TepakBulu: @RudyRoedyanto Pelatih fisik? Karena ada yang bilang masih banyak pemain kedodoran.\n\nData scientist? Purpose buat statisitk\xe2\x80\xa6'
7/12/2022 14:08,1.54686E+18,Nini || cek 📌,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/12/2022 13:57,1.54686E+18,satukata,"b'RT @IramusfiraAlira: @RudyRoedyanto Lbh ke arah coach, pelatih fisik, data scientist sih koh, klw atlet badminton gak usah.. Banyak talent\xe2\x80\xa6'"
7/12/2022 13:55,1.54686E+18,satukata,"b'RT @TepakBulu: @RudyRoedyanto Data scientist masuknya ke teknis ya (?), tapi ya olahraga sekarang juga banyak bermain di data, jadi kayak s\xe2\x80\xa6'"
7/12/2022 13:55,1.54686E+18,satukata,b'RT @TepakBulu: @RudyRoedyanto Pelatih fisik? Karena ada yang bilang masih banyak pemain kedodoran.\n\nData scientist? Purpose buat statisitk\xe2\x80\xa6'
7/12/2022 13:52,1.54686E+18,Fafifu,b'RT @TepakBulu: @RudyRoedyanto Pelatih fisik? Karena ada yang bilang masih banyak pemain kedodoran.\n\nData scientist? Purpose buat statisitk\xe2\x80\xa6'
7/12/2022 13:51,1.54685E+18,pipippipip,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/12/2022 13:51,1.54685E+18,sammy,"b'RT @zawiramin: Data Analyst (DA). Kerjaya yang boleh masuk dalam hampir kesemua industri yang ada sekarang ini, daripada retail sehinggalah\xe2\x80\xa6'"
7/12/2022 13:43,1.54685E+18,iramusfira_alira,"b'@RudyRoedyanto Lbh ke arah coach, pelatih fisik, data scientist sih koh, klw atlet badminton gak usah.. Banyak talent dalam negeri'"
7/12/2022 13:42,1.54685E+18,"everybody come & play, throw every less care away","b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/12/2022 13:42,1.54685E+18,God Bless Prayer 🙏 | Speedy Recovery Yere,b'RT @TepakBulu: @RudyRoedyanto Pelatih fisik? Karena ada yang bilang masih banyak pemain kedodoran.\n\nData scientist? Purpose buat statisitk\xe2\x80\xa6'
7/12/2022 13:24,1.54685E+18,Diki Hamdani,"b'RT @TepakBulu: @RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/12/2022 13:24,1.54685E+18,gaby 🦊,"b'Ga setuju dan ga perlu. Lebih baik cari pelatih fisik dari luar, bisa dari Korea atau China. Sport science + data s\xe2\x80\xa6 https://t.co/zZxJs8zLaW'"
7/12/2022 13:20,1.54685E+18,Tepak Bulu - Podcast Bulutangkis,"b'@RudyRoedyanto Data scientist masuknya ke teknis ya (?), tapi ya olahraga sekarang juga banyak bermain di data, jad\xe2\x80\xa6 https://t.co/xYaVgME65v'"
7/12/2022 13:18,1.54685E+18,Tepak Bulu - Podcast Bulutangkis,b'@RudyRoedyanto Pelatih fisik? Karena ada yang bilang masih banyak pemain kedodoran.\n\nData scientist? Purpose buat s\xe2\x80\xa6 https://t.co/TUPUPwdXSi'
7/12/2022 13:13,1.54685E+18,Tepak Bulu - Podcast Bulutangkis,"b'@RudyRoedyanto Yang nonteknis kayak pelatih fisik, data scientist, atau media training lebih oke sih, Koh.'"
7/12/2022 11:38,1.54682E+18,tehTarik,"b'@worksfess Akuntan ya, coba belajar Data Science, bljr mandiri atau bootcamp stlah itu coba apply jd Data Scientist\xe2\x80\xa6 https://t.co/ltxXOHXDF0'"
7/12/2022 11:29,1.54682E+18,vau,b'@hfdhrzky @worksfess ayo balik jd data scientist aja'
7/12/2022 9:32,1.54679E+18,yayaya,"b'@collegemenfess Tenang aja bisa  data analyst, data scientist gitu kok. Asah skill aja, banyakbanyakin ikut pelatih\xe2\x80\xa6 https://t.co/zCdxJ2F7rN'"
7/12/2022 9:22,1.54679E+18,yocelyn²²,"b'RT @snukyun: @hrdbacot Tergantung pas kuliah ambil peminatannya apa. Gue matmur tapi banyak ambil matkul statistik, skrg kerjanya data scie\xe2\x80\xa6'"
7/12/2022 8:23,1.54677E+18,yocelyn²²,"b'RT @worksfess: work! aku maba jurusan matematika murni, kalo mau jadi data scientist atau data analyst harus ikut course apa ya? dan cari i\xe2\x80\xa6'"
7/12/2022 7:34,1.54676E+18,nat,"b'@worksfess 1. Digitalent Kominfo : aku ikut yang data scientist tapi kayanya pendaftarannya udah tutup, cek dulu aj\xe2\x80\xa6 https://t.co/2RJjPw9ovn'"
7/12/2022 7:29,1.54676E+18,Baca Rules (bit.ly/worksfess),"b'work! aku maba jurusan matematika murni, kalo mau jadi data scientist atau data analyst harus ikut course apa ya? d\xe2\x80\xa6 https://t.co/QRaaluYWMT'"
7/12/2022 6:30,1.54674E+18,medcom_id,b'Bootcamp Data Science untuk Dorong Pertumbuhan Data Scientist https://t.co/COh5CV8Y0P'
7/12/2022 5:27,1.54673E+18,Andrian Soelistiyo,b'Salah satu alasan kenapa orang2 data scientist sebagian besar mengharamkan delete data.'
7/12/2022 5:12,1.54672E+18,Baca Rules (bit.ly/worksfess),"b'Work! aku maba jurusan matematika murni, kira kira kalo besok mau jadi data scientist bisa ga ya? langkah apa aja y\xe2\x80\xa6 https://t.co/oJbTFmdFXj'"
7/12/2022 4:21,1.54671E+18,bil,b'@collegemenfess ketawain aja gausah diambil pusing. ilmu murni tuh prospeknya luas banget. malah lebih ditengok sam\xe2\x80\xa6 https://t.co/qH84mPeMe6'
7/12/2022 3:37,1.5467E+18,Entertainment.Robotshow,"b'On-device AI memberikan kontrol akan informasi data pribadi dan melindungi privasi, serta tetap memberikan kekuatan\xe2\x80\xa6 https://t.co/N85t7KQBHI'"
7/12/2022 3:20,1.5467E+18,DQLab,b'No worries!\n\nSahabat DQ dapat memulai proses persiapanmu menjadi seorang Data Scientist dengan membaca step by step\xe2\x80\xa6 https://t.co/SVgNfzp6x3'
7/12/2022 3:19,1.5467E+18,DQLab,b'Ingin menjadi Data Scientist tapi bingung harus mulai dari mana karena masih pemula?'
7/11/2022 21:11,1.5466E+18,tehTarik,"b'@collegemenfess Smngat nder, bnyk tmen2 Data Scientist, Data Engineer, Machine Learning, dan Software Engineer role\xe2\x80\xa6 https://t.co/OzthuApC7w'"
7/11/2022 19:55,1.54658E+18,Cipta,"b'@collegemenfess Jujur mtk paling gua benci tapi sering kepikiran buat jadi data analyst,scientist.'"
7/11/2022 19:42,1.54658E+18,Kocheng🌹,"b'@collegemenfess Kaga juga sih keknya. kayanya sekarang pada ke data macem data analyst, data scientist, business in\xe2\x80\xa6 https://t.co/3Paet1yGB6'"
